inicio,fin,cantidad_viajes
1403 East 2nd Street,1155 Curve Street,325
3600 Presidential Boulevard,1400 South Pleasant Valley Road,324
2605 Whitis Avenue,400 1/2 South 1st Street,324
1702 Briar Street,West Gibson Street,323
221 East 9th Street,7100 Carver Avenue,322
4200 North Lamar Boulevard,221 East 9th Street,322
2008 Kinney Avenue,3600 Presidential Boulevard,322
Red River Street,11405 Alterra Parkway,320
221 East 9th Street,North Mopac Service Road,319
207 West 18th Street,909 East Koenig Lane,318
2241 Cromwell Circle,709 West 6th Street,318
Red River Street,2008 Kinney Avenue,317
3600 Presidential Boulevard,313 Lone Oak Drive,317
Red River Street,2500 Candlewood Court,316
1911 Lightsey Road,1402 Hillmont Street,315
3001 South Congress Avenue,3600 Presidential Boulevard,315
709 West 6th Street,909 East Koenig Lane,315
709 West 6th Street,2400 East Oltorf Street,314
221 East 9th Street,948 East 50th Street,313
Ann & Roy Butler Hike and Bike Trail,Red River Street,313
West Gibson Street,1702 Briar Street,313
West Gibson Street,2023 East 5th Street,312
2500 Candlewood Court,709 West 6th Street,310
3304 Guadalupe Street,3600 Presidential Boulevard,310
313 Lone Oak Drive,1402 Hillmont Street,308
400 1/2 South 1st Street,1403 East 2nd Street,307
Red River Street,1915 East Martin Luther King Jr Boulevard,307
2023 East 5th Street,West Gibson Street,306
Red River Street,3707 South 2nd Street,305
1911 Lightsey Road,3600 Presidential Boulevard,304
1915 East Martin Luther King Jr Boulevard,3600 Presidential Boulevard,304
3600 Presidential Boulevard,1702 Briar Street,304
709 West 6th Street,1104 Flanagan Cove,303
2023 East 5th Street,1402 Hillmont Street,303
3001 South Congress Avenue,1402 Hillmont Street,302
North Interstate 35,221 East 9th Street,302
1104 Flanagan Cove,221 East 9th Street,302
221 East 9th Street,4200 North Lamar Boulevard,302
2908 Beanna Street,3600 Presidential Boulevard,300
909 East Koenig Lane,2605 Whitis Avenue,299
North Mopac Service Road,221 East 9th Street,298
207 West 18th Street,1400 South Pleasant Valley Road,298
1155 Curve Street,1155 Curve Street,297
2400 East Oltorf Street,Red River Street,296
207 West 18th Street,1155 Curve Street,296
