inicio,fin,cantidad_viajes
West 15th Street,4608 Mount Vernon Drive,2
2500 Candlewood Court,611 Fairfield Lane,2
1903 Fairlawn Lane,3405 Westledge Circle,2
2500 Candlewood Court,7088 Easy Wind Drive,2
2305 Newfield Lane,3405 Westledge Circle,2
1928 Holly Hill Drive,1204 West 29th Street,2
5209 North Lamar Boulevard,2500 Candlewood Court,2
2500 Candlewood Court,4701 Monterey Oaks Boulevard,2
510 Gate Tree Lane,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",2
West 15th Street,8405 Hornet Drive,2
2500 Candlewood Court,2901 Via Fortuna,2
510 Gate Tree Lane,Shops at Arbor Trail,2
4501 Fairview Drive,3001 South Congress Avenue,2
106 East 55th Street,3001 South Congress Avenue,2
510 Gate Tree Lane,"Yellow Jacket Stadium, Hargrave Street",2
4501 Fairview Drive,2904 Barton Skyway,2
4501 Fairview Drive,2793 East 7th Street,2
2305 Newfield Lane,4707 Weidemar Lane,2
5209 North Lamar Boulevard,11700 Stonehollow Drive,2
1903 Fairlawn Lane,8608 Primrose Lane,2
4501 Fairview Drive,2203 Philomena Street,2
5209 North Lamar Boulevard,2241 Cromwell Circle,2
5209 North Lamar Boulevard,1517 Summer Stone Drive,2
2305 Newfield Lane,400 West Saint Elmo Road,2
4501 Fairview Drive,2106 Shoalmont Drive,2
2305 Newfield Lane,3707 South 2nd Street,2
4501 Fairview Drive,1629 West 11 1/2 Street,2
1903 Fairlawn Lane,5701 Mojave Drive,2
4501 Fairview Drive,11700 Stonehollow Drive,2
1903 Fairlawn Lane,510 Gate Tree Lane,2
1915 East Martin Luther King Jr Boulevard,"Omni Barton Creek Resort, 8108 Barton Club Drives",2
4368 Freidrich Lane,"Trader Joes, 2805 Bee Caves Road",2
"St. Edwards University, 3001 South Congress Avenue",1629 West 11 1/2 Street,2
2901 Via Fortuna,"Trader Joes, 2805 Bee Caves Road",2
909 East Koenig Lane,5305 East Oltorf Street,2
909 East Koenig Lane,2507 Bridle Path,2
3708 Meredith Street,2003 Northridge Drive,2
7804 Tisdale Drive,Riata Trace Parkway,2
1104 Flanagan Cove,948 East 50th Street,2
3708 Meredith Street,1731 East 38½ Street,2
1517 Summer Stone Drive,2203 Philomena Street,2
811 East Riverside Drive,11700 Stonehollow Drive,2
1104 Flanagan Cove,8608 Primrose Lane,2
3501 Duval Road,3819 Jefferson Street,2
3708 Meredith Street,106 East 55th Street,2
1104 Flanagan Cove,842 Springdale Road,2
1517 Summer Stone Drive,2117 West 49th Street,2
2008 Kinney Avenue,"Hotel Granduca Pool, Capital Ridge Driveway",2
1517 Summer Stone Drive,1928 Holly Hill Drive,2
1104 Flanagan Cove,8405 Hornet Drive,2
3707 South 2nd Street,South Mopac Service Road,2
2106 Shoalmont Drive,2609 Deerfoot Trail,2
3708 Meredith Street,2015 Cedar Bend Drive,2
1517 Summer Stone Drive,1731 East 38½ Street,2
2517 Walsh Tarlton Lane,7511 Meadowview Lane,2
3501 Duval Road,2117 West 49th Street,2
3708 Meredith Street,3301 Hollywood Avenue,2
3708 Meredith Street,3126 Honey Tree Lane,2
7804 Tisdale Drive,7100 Carver Avenue,2
3708 Meredith Street,2793 East 7th Street,2
South Interstate 35,4200 North Lamar Boulevard,2
1104 Flanagan Cove,"Cambria Hotel Austin Airport, Discovery Lane",2
"Riverside Golf Course, 1020 Grove Boulevard",2108 White Horse Trail,2
909 East Koenig Lane,2907 Townes Lane,2
2212 Village Way Drive,4701 Monterey Oaks Boulevard,2
3708 Meredith Street,2117 West 49th Street,2
3708 Meredith Street,2108 White Horse Trail,2
7804 Tisdale Drive,Nash Hernandez Sr Road,2
7804 Tisdale Drive,North Interstate 35,2
3501 Duval Road,313 Lone Oak Drive,2
3707 South 2nd Street,"Riverside Golf Course, 1020 Grove Boulevard",2
811 East Riverside Drive,1928 Holly Hill Drive,2
3811 Avenue H,1928 Holly Hill Drive,2
3707 South 2nd Street,948 East 50th Street,2
South Interstate 35,2793 East 7th Street,2
909 East Koenig Lane,12111 Northern Walnut Creek Trail,2
2517 Walsh Tarlton Lane,Ann & Roy Hike & Bike Trail,2
South Interstate 35,2609 Deerfoot Trail,2
3707 South 2nd Street,7804 Tisdale Drive,2
1500 Royal Crest Drive,2404 Kathy Cove,2
3501 Duval Road,"Hotel Granduca Pool, Capital Ridge Driveway",2
811 East Riverside Drive,2907 Townes Lane,2
3501 Duval Road,North Interstate 35,2
1104 Flanagan Cove,3126 Honey Tree Lane,2
"Riverside Golf Course, 1020 Grove Boulevard",3018 Spirit of Texas Drive,2
3707 South 2nd Street,5606 Penick Drive,2
2106 Shoalmont Drive,2400 East Oltorf Street,2
3707 South 2nd Street,5305 East Oltorf Street,2
South Interstate 35,2212 Village Way Drive,2
3501 Duval Road,"Barley Bean, South Lamar Boulevard",2
"Riverside Golf Course, 1020 Grove Boulevard",3001 West Anderson Lane,2
2008 Kinney Avenue,"Lions Municipal Golf Course, 2901 Enfield Road",2
811 East Riverside Drive,2404 Kathy Cove,2
3501 Duval Road,5209 North Lamar Boulevard,2
2008 Kinney Avenue,North Mopac Service Road,2
811 East Riverside Drive,2015 Cedar Bend Drive,2
"Riverside Golf Course, 1020 Grove Boulevard",2793 East 7th Street,2
"Riverside Golf Course, 1020 Grove Boulevard",2800 Tom Miller Street,2
3707 South 2nd Street,"Omni Barton Creek Resort, 8108 Barton Club Drives",2
3501 Duval Road,611 Fairfield Lane,2
3707 South 2nd Street,North Mopac Service Road,2
811 East Riverside Drive,2204 Vanderbilt Lane,2
3501 Duval Road,7100 Carver Avenue,2
2600 La Ronde Street,Ann & Roy Hike & Bike Trail,2
1500 Royal Crest Drive,2015 Cedar Bend Drive,2
3501 Duval Road,7804 Tisdale Drive,2
1104 Flanagan Cove,7600 Wood Hollow Drive,2
3501 Duval Road,9669 New Airport Drive,2
3501 Duval Road,2108 White Horse Trail,2
3708 Meredith Street,3405 Westledge Circle,2
7804 Tisdale Drive,5005 Red Bluff Road,2
1419 Corona Drive,7516 Hardy Drive,2
7600 Wood Hollow Drive,Ann & Roy Butler Hike and Bike Trail,2
2008 Kinney Avenue,8405 Hornet Drive,2
3405 Westledge Circle,909 East Koenig Lane,2
7600 Wood Hollow Drive,Gillis District Park Trail,2
909 East Koenig Lane,"Life Time, 4210 West Braker Lane",2
7600 Wood Hollow Drive,Nash Hernandez Sr Road,2
1419 Corona Drive,7804 Tisdale Drive,2
South Interstate 35,"Lions Municipal Golf Course, 2901 Enfield Road",2
909 East Koenig Lane,"Great Hills Park & Ride, OChester Boulevard",2
909 East Koenig Lane,East William Cannon Drive,2
1419 Corona Drive,842 Springdale Road,2
3405 Westledge Circle,Arboretum Boulevard,2
7600 Wood Hollow Drive,"Riverside Golf Course, 1020 Grove Boulevard",2
South Interstate 35,"Hotel Granduca Pool, Capital Ridge Driveway",2
3405 Westledge Circle,North Mopac Service Road,2
Riata Trace Parkway,Reserve Road,2
1419 Corona Drive,7511 Meadowview Lane,2
3501 Duval Road,1915 East Martin Luther King Jr Boulevard,2
South Interstate 35,Shops at Arbor Trail,2
3811 Avenue H,1304 Cometa Street,2
1419 Corona Drive,600 Hammack Drive,2
3405 Westledge Circle,5700 South Mopac Expressway,2
7600 Wood Hollow Drive,3707 South 2nd Street,2
1104 Flanagan Cove,2106 Shoalmont Drive,2
3811 Avenue H,1104 Flanagan Cove,2
South Mopac Service Road,1155 Curve Street,2
7600 Wood Hollow Drive,4701 Monterey Oaks Boulevard,2
1419 Corona Drive,7088 Easy Wind Drive,2
Riata Trace Parkway,"Popeyes, Cactus Lane",2
3405 Westledge Circle,600 Hammack Drive,2
909 East Koenig Lane,"Omni Barton Creek Resort, 8108 Barton Club Drives",2
7600 Wood Hollow Drive,7511 Meadowview Lane,2
3708 Meredith Street,"Trader Joes, 2805 Bee Caves Road",2
3708 Meredith Street,"St. Edwards University, 3001 South Congress Avenue",2
7600 Wood Hollow Drive,"St. Francis School, Twin Crest Drive",2
3405 Westledge Circle,"Omni Barton Creek Resort, 8108 Barton Club Drives",2
3708 Meredith Street,"Infiniti, Burnet Road",2
2212 Village Way Drive,5209 North Lamar Boulevard,2
3708 Meredith Street,7100 Carver Avenue,2
1419 Corona Drive,Arnulfo Alonso Way,2
1104 Flanagan Cove,Country Club Creek Trail,2
1419 Corona Drive,"Circuit of The Americas, Swiss Drive",2
7804 Tisdale Drive,2517 Walsh Tarlton Lane,2
3708 Meredith Street,7088 Easy Wind Drive,2
2517 Walsh Tarlton Lane,5305 East Oltorf Street,2
909 East Koenig Lane,5606 Penick Drive,2
7804 Tisdale Drive,3501 Duval Road,2
909 East Koenig Lane,4608 Mount Vernon Drive,2
"Riverside Golf Course, 1020 Grove Boulevard",1731 East 38½ Street,2
1419 Corona Drive,Nash Hernandez Sr Road,2
"Riverside Golf Course, 1020 Grove Boulevard",1928 Holly Hill Drive,2
1104 Flanagan Cove,2517 Walsh Tarlton Lane,2
2517 Walsh Tarlton Lane,611 Fairfield Lane,2
7804 Tisdale Drive,2117 West 49th Street,2
3708 Meredith Street,7516 Hardy Drive,2
South Interstate 35,8405 Hornet Drive,2
2212 Village Way Drive,2404 Kathy Cove,2
7804 Tisdale Drive,110 Oertli Lane,2
7804 Tisdale Drive,1106 Clayton Lane,2
2517 Walsh Tarlton Lane,405 East Ben White Boulevard,2
7804 Tisdale Drive,1204 West 29th Street,2
1419 Corona Drive,Ann & Roy Butler Hike and Bike Trail,2
7804 Tisdale Drive,1419 Corona Drive,2
7804 Tisdale Drive,1629 West 11 1/2 Street,2
2212 Village Way Drive,4707 Weidemar Lane,2
3708 Meredith Street,9669 New Airport Drive,2
1104 Flanagan Cove,East William Cannon Drive,2
South Interstate 35,9669 New Airport Drive,2
South Interstate 35,948 East 50th Street,2
909 East Koenig Lane,8405 Hornet Drive,2
7804 Tisdale Drive,2008 Kinney Avenue,2
"Riverside Golf Course, 1020 Grove Boulevard",3126 Honey Tree Lane,2
2008 Kinney Avenue,Shops at Arbor Trail,2
8608 Primrose Lane,"St. Francis School, Twin Crest Drive",2
8405 Hornet Drive,405 East Ben White Boulevard,2
8405 Hornet Drive,4200 North Lamar Boulevard,2
3567 Ranch to Market Road 2222,"Life Time, 4210 West Braker Lane",2
8405 Hornet Drive,4368 Freidrich Lane,2
1500 Royal Crest Drive,4501 Fairview Drive,2
8405 Hornet Drive,4608 Mount Vernon Drive,2
8405 Hornet Drive,490 Little Texas Lane,2
842 Springdale Road,North Mopac Service Road,2
8405 Hornet Drive,510 Gate Tree Lane,2
1104 Flanagan Cove,5305 East Oltorf Street,2
842 Springdale Road,Lady Bird Lake Hike and Bike Trail,2
"Riverside Golf Course, 1020 Grove Boulevard","Infiniti, Burnet Road",2
1104 Flanagan Cove,4504 Avenue C,2
Shops at Arbor Trail,3301 Hollywood Avenue,2
8405 Hornet Drive,909 East Koenig Lane,2
2015 Cedar Bend Drive,Arboretum Boulevard,2
2600 La Ronde Street,2117 West 49th Street,2
2600 La Ronde Street,3567 Ranch to Market Road 2222,2
Shops at Arbor Trail,811 East Riverside Drive,2
2600 La Ronde Street,3707 South 2nd Street,2
8405 Hornet Drive,2400 East Oltorf Street,2
2600 La Ronde Street,1915 East Martin Luther King Jr Boulevard,2
8608 Primrose Lane,1702 Briar Street,2
3567 Ranch to Market Road 2222,811 East Riverside Drive,2
7511 Meadowview Lane,2793 East 7th Street,2
2600 La Ronde Street,3819 Jefferson Street,2
8405 Hornet Drive,313 Lone Oak Drive,2
8608 Primrose Lane,1106 Clayton Lane,2
8608 Primrose Lane,1104 Flanagan Cove,2
3567 Ranch to Market Road 2222,"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",2
2015 Cedar Bend Drive,6210 Shadow Valley Drive,2
"Riverside Golf Course, 1020 Grove Boulevard",Arboretum Boulevard,2
Shops at Arbor Trail,4368 Freidrich Lane,2
"Riverside Golf Course, 1020 Grove Boulevard",Arnulfo Alonso Way,2
8405 Hornet Drive,3707 South 2nd Street,2
842 Springdale Road,948 East 50th Street,2
2600 La Ronde Street,3005 Scenic Drive,2
842 Springdale Road,7100 Carver Avenue,2
1104 Flanagan Cove,510 Gate Tree Lane,2
2015 Cedar Bend Drive,West Gibson Street,2
2023 East 5th Street,110 Oertli Lane,2
842 Springdale Road,405 East Ben White Boulevard,2
Shops at Arbor Trail,1517 Summer Stone Drive,2
842 Springdale Road,400 West Saint Elmo Road,2
2023 East 5th Street,4501 Fairview Drive,2
2106 Shoalmont Drive,12111 Northern Walnut Creek Trail,2
"Riverside Golf Course, 1020 Grove Boulevard","The Pearl, 1301 West Koenig Lane",2
842 Springdale Road,2204 Vanderbilt Lane,2
2023 East 5th Street,"Omni Barton Creek Resort, 8108 Barton Club Drives",2
842 Springdale Road,2507 Bridle Path,2
2023 East 5th Street,Riata Trace Parkway,2
2023 East 5th Street,Shops at Arbor Trail,2
2600 La Ronde Street,2609 Deerfoot Trail,2
207 West 18th Street,Shops at Arbor Trail,2
2015 Cedar Bend Drive,"St. Francis School, Twin Crest Drive",2
842 Springdale Road,1629 West 11 1/2 Street,2
1500 Royal Crest Drive,6210 Shadow Valley Drive,2
8405 Hornet Drive,"St. Edwards University, 3001 South Congress Avenue",2
"Riverside Golf Course, 1020 Grove Boulevard",Shops at Arbor Trail,2
2106 Shoalmont Drive,1911 Lightsey Road,2
842 Springdale Road,600 Hammack Drive,2
2106 Shoalmont Drive,1903 Fairlawn Lane,2
2015 Cedar Bend Drive,"Great Hills Park & Ride, OChester Boulevard",2
1104 Flanagan Cove,5005 Red Bluff Road,2
842 Springdale Road,490 Little Texas Lane,2
2106 Shoalmont Drive,1304 Cometa Street,2
Shops at Arbor Trail,2207 De Verne Street,2
842 Springdale Road,4707 Weidemar Lane,2
842 Springdale Road,4501 Rowood Road,2
2600 La Ronde Street,2517 Walsh Tarlton Lane,2
842 Springdale Road,4368 Freidrich Lane,2
2015 Cedar Bend Drive,Riata Trace Parkway,2
Shops at Arbor Trail,7516 Hardy Drive,2
8608 Primrose Lane,2002 Dexter Street,2
8608 Primrose Lane,"St. Edwards University, 3001 South Congress Avenue",2
2517 Walsh Tarlton Lane,"The Pearl, 1301 West Koenig Lane",2
8608 Primrose Lane,Ann & Roy Hike & Bike Trail,2
8608 Primrose Lane,Ann & Roy Butler Hike and Bike Trail,2
8608 Primrose Lane,9669 New Airport Drive,2
1500 Royal Crest Drive,Shops at Arbor Trail,2
811 East Riverside Drive,842 Springdale Road,2
3567 Ranch to Market Road 2222,1915 East Martin Luther King Jr Boulevard,2
"Riverside Golf Course, 1020 Grove Boulevard",400 West Saint Elmo Road,2
South Interstate 35,11405 Alterra Parkway,2
2015 Cedar Bend Drive,2002 Dexter Street,2
811 East Riverside Drive,"Circuit of The Americas, Swiss Drive",2
811 East Riverside Drive,Country Club Creek Trail,2
South Interstate 35,1104 Flanagan Cove,2
8608 Primrose Lane,4501 Rowood Road,2
Shops at Arbor Trail,West 15th Street,2
1500 Royal Crest Drive,"Infiniti, Burnet Road",2
3567 Ranch to Market Road 2222,1500 Royal Crest Drive,2
8608 Primrose Lane,Arnulfo Alonso Way,2
8405 Hornet Drive,2108 White Horse Trail,2
2517 Walsh Tarlton Lane,"St. Francis School, Twin Crest Drive",2
3707 South 2nd Street,41 Margranita Crescent,2
1104 Flanagan Cove,7088 Easy Wind Drive,2
3707 South 2nd Street,3811 Avenue H,2
2517 Walsh Tarlton Lane,"Life Time, 4210 West Braker Lane",2
3707 South 2nd Street,3405 Westledge Circle,2
1500 Royal Crest Drive,2901 Via Fortuna,2
2517 Walsh Tarlton Lane,"Panera Bread, North Capital of Texas Highway",2
3567 Ranch to Market Road 2222,1155 Curve Street,2
2517 Walsh Tarlton Lane,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",2
2015 Cedar Bend Drive,12111 Northern Walnut Creek Trail,2
3567 Ranch to Market Road 2222,1157 Salina Street,2
811 East Riverside Drive,5001 Wasson Road,2
3567 Ranch to Market Road 2222,1304 Cometa Street,2
2212 Village Way Drive,405 East Ben White Boulevard,2
8608 Primrose Lane,East 20th Street,2
3567 Ranch to Market Road 2222,2624 Western Trails Boulevard,2
"Riverside Golf Course, 1020 Grove Boulevard",5001 Wasson Road,2
8608 Primrose Lane,3708 Meredith Street,2
1500 Royal Crest Drive,"Hotel Granduca Pool, Capital Ridge Driveway",2
8608 Primrose Lane,2507 Bridle Path,2
2212 Village Way Drive,2908 Beanna Street,2
"Riverside Golf Course, 1020 Grove Boulevard",7511 Meadowview Lane,2
8608 Primrose Lane,2203 Philomena Street,2
8608 Primrose Lane,2106 West 7th Street,2
8405 Hornet Drive,1400 South Pleasant Valley Road,2
2015 Cedar Bend Drive,313 Lone Oak Drive,2
8405 Hornet Drive,1517 Summer Stone Drive,2
3567 Ranch to Market Road 2222,6210 Shadow Valley Drive,2
3707 South 2nd Street,1204 West 29th Street,2
3567 Ranch to Market Road 2222,7511 Meadowview Lane,2
2015 Cedar Bend Drive,3301 Hollywood Avenue,2
8405 Hornet Drive,2002 Dexter Street,2
8405 Hornet Drive,2023 East 5th Street,2
8608 Primrose Lane,2008 Kinney Avenue,2
8608 Primrose Lane,2600 La Ronde Street,2
2015 Cedar Bend Drive,2904 Barton Skyway,2
8608 Primrose Lane,2793 East 7th Street,2
2600 La Ronde Street,4701 Monterey Oaks Boulevard,2
3707 South 2nd Street,2106 Shoalmont Drive,2
8608 Primrose Lane,3707 South 2nd Street,2
811 East Riverside Drive,"Omni Barton Creek Resort, 8108 Barton Club Drives",2
2015 Cedar Bend Drive,2106 West 7th Street,2
2015 Cedar Bend Drive,2108 White Horse Trail,2
8608 Primrose Lane,3501 Duval Road,2
2015 Cedar Bend Drive,2500 Candlewood Court,2
Shops at Arbor Trail,Lady Bird Lake Hike and Bike Trail,2
3567 Ranch to Market Road 2222,3819 Jefferson Street,2
"Riverside Golf Course, 1020 Grove Boulevard",5700 South Mopac Expressway,2
811 East Riverside Drive,"St. Francis School, Twin Crest Drive",2
2600 La Ronde Street,1903 Fairlawn Lane,2
2600 La Ronde Street,4504 Avenue C,2
811 East Riverside Drive,"Yellow Jacket Stadium, Hargrave Street",2
South Mopac Service Road,1915 East Martin Luther King Jr Boulevard,2
2106 Shoalmont Drive,11700 Stonehollow Drive,2
7600 Wood Hollow Drive,2624 Western Trails Boulevard,2
3811 Avenue H,3400 Catalina Drive,2
3819 Jefferson Street,1106 Clayton Lane,2
South Mopac Service Road,West 15th Street,2
3405 Westledge Circle,1204 West 29th Street,2
919 Park Plaza,2400 East Oltorf Street,2
948 East 50th Street,1928 Holly Hill Drive,2
2106 Shoalmont Drive,3707 South 2nd Street,2
919 Park Plaza,2500 Candlewood Court,2
2212 Village Way Drive,1155 Curve Street,2
Riata Trace Parkway,2008 Kinney Avenue,2
919 Park Plaza,3018 Spirit of Texas Drive,2
"St. Edwards University, 3001 South Congress Avenue",1106 Clayton Lane,2
7511 Meadowview Lane,"Life Time, 4210 West Braker Lane",2
7516 Hardy Drive,Shops at Arbor Trail,2
7516 Hardy Drive,Riata Trace Parkway,2
7516 Hardy Drive,Reserve Road,2
1517 Summer Stone Drive,4504 Avenue C,2
1517 Summer Stone Drive,4200 North Lamar Boulevard,2
919 Park Plaza,Arboretum Boulevard,2
919 Park Plaza,Ann & Roy Butler Hike and Bike Trail,2
7516 Hardy Drive,3819 Jefferson Street,2
Riata Trace Parkway,4200 North Lamar Boulevard,2
3400 Catalina Drive,South Mopac Service Road,2
7516 Hardy Drive,"Yellow Jacket Stadium, Hargrave Street",2
2207 De Verne Street,"Trader Joes, 2805 Bee Caves Road",2
3811 Avenue H,2907 Townes Lane,2
919 Park Plaza,2023 East 5th Street,2
2106 Shoalmont Drive,3400 Catalina Drive,2
7511 Meadowview Lane,7516 Hardy Drive,2
919 Park Plaza,"Infiniti, Burnet Road",2
South Mopac Service Road,2901 Via Fortuna,2
3400 Catalina Drive,North Mopac Service Road,2
3811 Avenue H,North Interstate 35,2
7516 Hardy Drive,3301 Hollywood Avenue,2
948 East 50th Street,2624 Western Trails Boulevard,2
1104 Flanagan Cove,"Omni Barton Creek Resort, 8108 Barton Club Drives",2
948 East 50th Street,1911 Lightsey Road,2
1419 Corona Drive,2305 Newfield Lane,2
2212 Village Way Drive,"Riverside Golf Course, 1020 Grove Boulevard",2
2207 De Verne Street,"The Pearl, 1301 West Koenig Lane",2
919 Park Plaza,2204 Vanderbilt Lane,2
South Mopac Service Road,"Omni Barton Creek Resort, 8108 Barton Club Drives",2
7511 Meadowview Lane,"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",2
3819 Jefferson Street,1304 Cometa Street,2
919 Park Plaza,3309 East 17th Street,2
7511 Meadowview Lane,Nash Hernandez Sr Road,2
919 Park Plaza,3400 Catalina Drive,2
7516 Hardy Drive,Ann & Roy Hike & Bike Trail,2
South Mopac Service Road,3304 Guadalupe Street,2
1419 Corona Drive,4501 Rowood Road,2
7516 Hardy Drive,811 East Riverside Drive,2
3811 Avenue H,"St. Edwards University, 3001 South Congress Avenue",2
7511 Meadowview Lane,"The Pearl, 1301 West Koenig Lane",2
7516 Hardy Drive,7804 Tisdale Drive,2
2508 Aldford Drive,"Trader Joes, 2805 Bee Caves Road",2
1419 Corona Drive,2505 Longview Street,2
7516 Hardy Drive,7511 Meadowview Lane,2
Riata Trace Parkway,2106 West 7th Street,2
2106 Shoalmont Drive,3501 Duval Road,2
3811 Avenue H,"Riverside Golf Course, 1020 Grove Boulevard",2
2517 Walsh Tarlton Lane,106 East 55th Street,2
2212 Village Way Drive,1104 Flanagan Cove,2
3405 Westledge Circle,2908 Beanna Street,2
7516 Hardy Drive,7100 Carver Avenue,2
1419 Corona Drive,2600 La Ronde Street,2
3811 Avenue H,4707 Weidemar Lane,2
3400 Catalina Drive,"Yellow Jacket Stadium, Hargrave Street",2
919 Park Plaza,7804 Tisdale Drive,2
Riata Trace Parkway,4707 Weidemar Lane,2
7516 Hardy Drive,North Interstate 35,2
3811 Avenue H,5701 Mojave Drive,2
South Mopac Service Road,490 Little Texas Lane,2
7516 Hardy Drive,"Life Time, 4210 West Braker Lane",2
7516 Hardy Drive,Lady Bird Lake Hike and Bike Trail,2
7516 Hardy Drive,"Great Hills Park & Ride, OChester Boulevard",2
7516 Hardy Drive,1400 South Pleasant Valley Road,2
7516 Hardy Drive,4501 Rowood Road,2
1419 Corona Drive,405 East Ben White Boulevard,2
7516 Hardy Drive,12111 Northern Walnut Creek Trail,2
South Mopac Service Road,4504 Avenue C,2
South Mopac Service Road,4368 Freidrich Lane,2
7516 Hardy Drive,1157 Salina Street,2
2008 Kinney Avenue,2600 La Ronde Street,2
948 East 50th Street,2008 Kinney Avenue,2
3811 Avenue H,"Trader Joes, 2805 Bee Caves Road",2
1419 Corona Drive,4200 North Lamar Boulevard,2
7516 Hardy Drive,Arnulfo Alonso Way,2
919 Park Plaza,8608 Primrose Lane,2
919 Park Plaza,3501 Duval Road,2
7516 Hardy Drive,Arboretum Boulevard,2
919 Park Plaza,Nash Hernandez Sr Road,2
Riata Trace Parkway,5005 Red Bluff Road,2
948 East 50th Street,3400 Catalina Drive,2
3811 Avenue H,2241 Cromwell Circle,2
7511 Meadowview Lane,4200 North Lamar Boulevard,2
3405 Westledge Circle,4707 Weidemar Lane,2
7511 Meadowview Lane,2904 Barton Skyway,2
2517 Walsh Tarlton Lane,1204 West 29th Street,2
3405 Westledge Circle,1915 East Martin Luther King Jr Boulevard,2
South Mopac Service Road,Gillis District Park Trail,2
7511 Meadowview Lane,4504 Avenue C,2
948 East 50th Street,3018 Spirit of Texas Drive,2
2508 Aldford Drive,Lady Bird Lake Hike and Bike Trail,2
919 Park Plaza,1106 Clayton Lane,2
948 East 50th Street,3567 Ranch to Market Road 2222,2
2212 Village Way Drive,1915 East Martin Luther King Jr Boulevard,2
7600 Wood Hollow Drive,1928 Holly Hill Drive,2
7600 Wood Hollow Drive,1915 East Martin Luther King Jr Boulevard,2
7516 Hardy Drive,2793 East 7th Street,2
948 East 50th Street,1517 Summer Stone Drive,2
1419 Corona Drive,2207 De Verne Street,2
948 East 50th Street,3501 Duval Road,2
948 East 50th Street,11700 Stonehollow Drive,2
919 Park Plaza,110 Oertli Lane,2
7516 Hardy Drive,2207 De Verne Street,2
7511 Meadowview Lane,3301 Hollywood Avenue,2
3405 Westledge Circle,4504 Avenue C,2
2508 Aldford Drive,"Hotel Granduca Pool, Capital Ridge Driveway",2
909 East Koenig Lane,"Trader Joes, 2805 Bee Caves Road",2
7511 Meadowview Lane,3018 Spirit of Texas Drive,2
3811 Avenue H,2207 De Verne Street,2
1419 Corona Drive,510 Gate Tree Lane,2
2517 Walsh Tarlton Lane,1106 Clayton Lane,2
Riata Trace Parkway,"Infiniti, Burnet Road",2
South Mopac Service Road,2404 Kathy Cove,2
7511 Meadowview Lane,3567 Ranch to Market Road 2222,2
919 Park Plaza,106 East 55th Street,2
7511 Meadowview Lane,400 1/2 South 1st Street,2
7600 Wood Hollow Drive,2106 Shoalmont Drive,2
Riata Trace Parkway,3001 West Anderson Lane,2
Riata Trace Parkway,1106 Clayton Lane,2
7511 Meadowview Lane,3309 East 17th Street,2
South Mopac Service Road,Nash Hernandez Sr Road,2
3405 Westledge Circle,2600 La Ronde Street,2
South Mopac Service Road,North Mopac Service Road,2
7516 Hardy Drive,1911 Lightsey Road,2
2517 Walsh Tarlton Lane,2404 Kathy Cove,2
South Mopac Service Road,Arboretum Boulevard,2
2008 Kinney Avenue,3005 Scenic Drive,2
7516 Hardy Drive,1629 West 11 1/2 Street,2
3405 Westledge Circle,2507 Bridle Path,2
2207 De Verne Street,"St. Edwards University, 3001 South Congress Avenue",2
1517 Summer Stone Drive,5001 Wasson Road,2
2212 Village Way Drive,Arnulfo Alonso Way,2
919 Park Plaza,1731 East 38½ Street,2
South Mopac Service Road,Ann & Roy Butler Hike and Bike Trail,2
3811 Avenue H,2600 La Ronde Street,2
2517 Walsh Tarlton Lane,1104 Flanagan Cove,2
South Mopac Service Road,2106 Shoalmont Drive,2
7600 Wood Hollow Drive,2400 East Oltorf Street,2
948 East 50th Street,2901 Via Fortuna,2
South Mopac Service Road,2793 East 7th Street,2
919 Park Plaza,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",2
948 East 50th Street,1204 West 29th Street,2
Riata Trace Parkway,313 Lone Oak Drive,2
7600 Wood Hollow Drive,2305 Newfield Lane,2
2212 Village Way Drive,South Interstate 35,2
919 Park Plaza,1400 South Pleasant Valley Road,2
919 Park Plaza,North Mopac Service Road,2
2500 Candlewood Court,4501 Rowood Road,1
Riata Trace Parkway,2117 West 49th Street,1
"Yellow Jacket Stadium, Hargrave Street",3301 Hollywood Avenue,1
2500 Candlewood Court,2212 Village Way Drive,1
2600 La Ronde Street,811 East Riverside Drive,1
Riata Trace Parkway,2507 Bridle Path,1
11700 Stonehollow Drive,1000 East 41st Street,1
1106 Clayton Lane,3018 Spirit of Texas Drive,1
1104 Flanagan Cove,5701 Mojave Drive,1
2305 Newfield Lane,7600 Wood Hollow Drive,1
1157 Salina Street,South Mopac Service Road,1
2800 Tom Miller Street,North Interstate 35,1
"Yellow Jacket Stadium, Hargrave Street",405 East Ben White Boulevard,1
1104 Flanagan Cove,600 Hammack Drive,1
2800 Tom Miller Street,"St. Francis School, Twin Crest Drive",1
North Interstate 35,2404 Kathy Cove,1
Riata Trace Parkway,2241 Cromwell Circle,1
2600 La Ronde Street,7088 Easy Wind Drive,1
1106 Clayton Lane,2702 Valley Spring Road,1
2207 De Verne Street,2015 Cedar Bend Drive,1
West 15th Street,Country Club Creek Trail,1
"Yellow Jacket Stadium, Hargrave Street",3707 South 2nd Street,1
